rank,tier,priority_score,formula_tier,formula_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,pnl_fresh,pnl_age_days,pnl_snapshot_at_iso,avg_buy_usd,gmgn_realized_profit_usd,gmgn_pnl_ratio,gmgn_winrate,gmgn_buy_count,gmgn_sell_count,gmgn_period,gmgn_snapshot_at_iso,gmgn_tags,okx_win_rate,okx_avg_buy_value_usd,okx_preferred_mcap,okx_buy_tx_count,okx_snapshot_at_iso,kol_like,owner_manual_label,owner_manual_notes,sources,tags,provider_tags,token_tags,llm_verdict,llm_confidence,llm_recommended_action,llm_reasoning,llm_reviewed_at_iso,llm_review_fresh,llm_score_adjustment,llm_formula_disagreement,stale_review_count,stale_candidate,stale_reason,manual_rating,manual_notes
1,A,187.2,A,187.2,DWja6UWwLhX3uK4joHd7JwGHU2cpZP4cvevEQ69rxxqu,https://gmgn.ai/sol/address/DWja6UWwLhX3uK4joHd7JwGHU2cpZP4cvevEQ69rxxqu,,,,6,6,0.545,11,11,3.78,1.4,2026-05-11T00:44:54.000Z,2026-05-11T05:34:06.308Z,101302,,615.16220357269,0,yes,1.4,2026-05-11T05:34:06.308Z,0.0000621582138484806,,,,,,,,,,,,,,no,,,gmgn,smart_degen,,bundler|paper_hands,,,,,,no,0,no,0,no,,,
2,A,184.3,A,206.8,69z4qTgQ5DBRTJvnQzx2h8jZhNsv5UgADotEwwKUm2JS,https://gmgn.ai/sol/address/69z4qTgQ5DBRTJvnQzx2h8jZhNsv5UgADotEwwKUm2JS,Tyrelle Anderson-Brown,TyrelleAB,Tyrelle Anderson-Brown,5,5,0.385,13,12,3.28,0.3,2026-05-10T10:05:25.000Z,2026-05-12T06:42:38.128Z,112341,49,87.69189989285397,0,yes,0.3,2026-05-12T06:42:38.128Z,0.0002980672246331545,,,0.3333333333333333,,,7d,2026-05-12T14:30:08.796Z,bluechip_owner|kol|arbitrager|gmgn,33.33,299.3278627811,<100K,442,2026-05-12T14:30:16.913Z,yes,kol_only,Owner: just a KOL.,gmgn|okx,renowned|kol,kol|gmgn|bluechip_owner,paper_hands|bundler,inflated_or_wash,90,remove,"KOL-like wallet with negative PnL (-$8,066) and low win rate (33.33%); manual label confirms noisy KOL with no stored profitable trader actions.",2026-05-12T14:31:53.714Z,yes,-22.5,yes,2,no,,,
3,A,170.8,A,180.4,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,https://gmgn.ai/sol/address/2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,Cupsey,Cupseyy,Cupsey,3,3,0.231,13,12,3.27,0.3,2026-05-10T15:44:28.000Z,2026-05-12T06:42:34.192Z,114266,,1140.2884009914674,0,yes,0.3,2026-05-12T06:42:34.192Z,0.005819123220736788,,,,,,,,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom|gmgn|wash_trader,bundler|transfer_in|paper_hands|diamond_hands|top_holder,inflated_or_wash,80,demote,"Tagged as 'kol' and 'wash_trader' by providers with large available USD amounts on high-mcap tokens, suggesting influence rather than genuine early micro-cap trading.",2026-05-12T11:36:20.287Z,yes,-9.6,yes,0,no,,,
4,A,170.2,A,170.2,CXVJewdc79TYR55sz4SGLSWUPz3r4LBJ9Mn93bZ8ZyAz,https://gmgn.ai/sol/address/CXVJewdc79TYR55sz4SGLSWUPz3r4LBJ9Mn93bZ8ZyAz,,,,5,5,0.714,7,7,2.4,1.4,2026-05-10T20:12:31.000Z,2026-05-11T05:34:06.310Z,102302,,150.0469093286,0,yes,1.4,2026-05-11T05:34:06.310Z,0.0001932356308058996,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom|bullx|gmgn|padre,bundler|paper_hands,,,,,,no,0,no,0,no,,,
5,A,169.2,A,169.2,zephyrni115ZD4MvotSF8Xi92yennkdpT5nJkAjGdSU,https://gmgn.ai/sol/address/zephyrni115ZD4MvotSF8Xi92yennkdpT5nJkAjGdSU,,,,4,4,0.444,9,9,2.27,0.3,2026-05-10T20:43:23.000Z,2026-05-12T06:42:34.187Z,92925,,177.21619009072,0,yes,0.3,2026-05-12T06:42:34.187Z,0.009000164520530565,,,,,,,,,,,,,,no,,,gmgn,smart_degen,padre,bundler|paper_hands,,,,,,no,0,no,0,no,,,
6,A,167.8,A,167.8,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,https://gmgn.ai/sol/address/suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,Cupsey,Cupseyy,Cupsey,3,3,0.300,10,10,2.53,0.3,2026-05-10T05:22:56.000Z,2026-05-12T06:42:16.141Z,114266,,125.41405879125,0,yes,0.3,2026-05-12T06:42:16.141Z,0.00006937524106729314,,,,,,,,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom|photon,bundler|paper_hands,,,,,,no,0,no,0,no,,,
7,A,164.8,A,162.2,43QmFc2QPPGyMrSNuPnhvfs8BFW1XVZYFdbwURtWoo9x,https://gmgn.ai/sol/address/43QmFc2QPPGyMrSNuPnhvfs8BFW1XVZYFdbwURtWoo9x,,,,4,4,0.400,10,9,2.52,0.3,2026-05-10T20:52:54.000Z,2026-05-12T06:42:38.125Z,93032,,11.60862746301,0,yes,0.3,2026-05-12T06:42:38.125Z,0.00014137073977517716,,,0.6542056074766355,,,7d,2026-05-12T14:30:07.797Z,gmgn|smart_degen,61.11,56.7611655497,<100K,1406,2026-05-12T14:30:14.529Z,no,good_profitable_smart_wallet,Owner: good profitable smart wallet.,gmgn,smart_degen,gmgn,bundler|paper_hands,genuine_smart_trader,85,keep,"Highest win rate among candidates, positive PnL, preferred mcap <100K, and owner-labeled as profitable, though local sightings are holder-only.",2026-05-12T14:31:42.838Z,yes,2.6,no,0,no,,,
8,A,162.5,A,162.5,8LUtQLSVoKewkXXHSsWJA9sio9cH7Q4hSfKVm5cRk7QY,https://gmgn.ai/sol/address/8LUtQLSVoKewkXXHSsWJA9sio9cH7Q4hSfKVm5cRk7QY,,,,5,5,0.385,13,12,4.44,1.4,2026-05-10T20:16:06.000Z,2026-05-11T05:34:06.309Z,90160,,50.49119096448,0,yes,1.4,2026-05-11T05:34:06.309Z,0.00017800347342992432,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,,,,,,no,0,no,0,no,,,
9,A,161,A,161,9488N1xhqspsRwSHJJdUJxvApZxgTbLStbGZAT9H12H3,https://gmgn.ai/sol/address/9488N1xhqspsRwSHJJdUJxvApZxgTbLStbGZAT9H12H3,,,,4,3,0.333,12,11,3.02,0.3,2026-05-10T05:37:25.000Z,2026-05-12T06:42:46.145Z,108387,0,51.19011839141,0,yes,0.3,2026-05-12T06:42:46.145Z,0.00011278255270308967,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom|trojan,bundler|paper_hands,,,,,,no,0,no,0,no,,,
10,A,160.8,A,160.8,7wiEWKeG7sFUNh1TgujwCa9cmJtSSE4mNLDde7knjoeE,https://gmgn.ai/sol/address/7wiEWKeG7sFUNh1TgujwCa9cmJtSSE4mNLDde7knjoeE,,,,3,3,0.200,15,14,3.77,0.3,2026-05-10T20:24:16.000Z,2026-05-12T06:42:46.143Z,93261,,14.05369812612,0,yes,0.3,2026-05-12T06:42:46.143Z,0.0002085204865023099,,,,,,,,,,,,,,no,,,gmgn,smart_degen,axiom|bullx|padre,paper_hands|bundler,,,,,,no,0,no,0,no,,,
