rank,tier,priority_score,formula_tier,formula_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,pnl_fresh,pnl_age_days,pnl_snapshot_at_iso,avg_buy_usd,gmgn_realized_profit_usd,gmgn_pnl_ratio,gmgn_winrate,gmgn_buy_count,gmgn_sell_count,gmgn_period,gmgn_snapshot_at_iso,gmgn_snapshot_age_days,gmgn_profile_fresh,gmgn_tags,okx_win_rate,okx_avg_buy_value_usd,okx_preferred_mcap,okx_buy_tx_count,okx_snapshot_at_iso,kol_like,owner_manual_label,owner_manual_notes,sources,tags,provider_tags,token_tags,llm_verdict,llm_confidence,llm_recommended_action,llm_reasoning,llm_reviewed_at_iso,llm_review_fresh,llm_score_adjustment,llm_formula_disagreement,stale_review_count,stale_candidate,stale_reason,import_candidate,import_blocked,import_block_reason,review_lane,saved_but_now_blocked,manual_rating,manual_notes
1,A,186.7,A,186.7,DWja6UWwLhX3uK4joHd7JwGHU2cpZP4cvevEQ69rxxqu,https://gmgn.ai/sol/address/DWja6UWwLhX3uK4joHd7JwGHU2cpZP4cvevEQ69rxxqu,,,,6,6,0.545,11,11,3.78,1.7,2026-05-11T00:44:54.000Z,2026-05-11T05:34:06.308Z,101302,,615.16220357269,0,yes,1.7,2026-05-11T05:34:06.308Z,0.0000621582138484806,,,0.5576208178438662,,,7d,2026-05-12T16:36:11.886Z,0.3,yes,smart_degen,,,,,,no,,,gmgn,smart_degen,,bundler|paper_hands,insufficient_data,25,watch,Only holder sightings with no trade actions and unavailable amounts; cannot confirm trading activity or profitability.,2026-05-12T16:37:54.755Z,yes,0,no,0,no,,no,no,,watch,no,,
2,A,183.7,A,206.2,69z4qTgQ5DBRTJvnQzx2h8jZhNsv5UgADotEwwKUm2JS,https://gmgn.ai/sol/address/69z4qTgQ5DBRTJvnQzx2h8jZhNsv5UgADotEwwKUm2JS,Tyrelle Anderson-Brown,TyrelleAB,Tyrelle Anderson-Brown,5,5,0.385,13,12,3.28,0.7,2026-05-10T10:05:25.000Z,2026-05-12T06:42:38.128Z,112341,49,87.69189989285397,0,yes,0.7,2026-05-12T06:42:38.128Z,0.0002980672246331545,,,0.3333333333333333,,,7d,2026-05-12T14:30:08.796Z,0.4,yes,bluechip_owner|kol|arbitrager|gmgn,33.33,299.3278627811,<100K,442,2026-05-12T14:30:16.913Z,yes,kol_only,Owner: just a KOL.,gmgn|okx,renowned|kol,kol|gmgn|bluechip_owner,paper_hands|bundler,inflated_or_wash,90,remove,"KOL-like wallet with negative PnL (-$8,066) and low win rate (33.33%); manual label confirms noisy KOL with no stored profitable trader actions.",2026-05-12T14:31:53.714Z,yes,-22.5,yes,2,no,,no,yes,kol_like+owner_label+okx_negative_pnl,blocked,no,,
3,A,170.8,A,168.7,zephyrni115ZD4MvotSF8Xi92yennkdpT5nJkAjGdSU,https://gmgn.ai/sol/address/zephyrni115ZD4MvotSF8Xi92yennkdpT5nJkAjGdSU,,,,4,4,0.444,9,9,2.27,0.7,2026-05-10T20:43:23.000Z,2026-05-12T06:42:34.187Z,92925,,177.21619009072,0,yes,0.7,2026-05-12T06:42:34.187Z,0.009000164520530565,,,0.5384615384615384,,,7d,2026-05-12T16:36:24.963Z,0.3,yes,padre|smart_degen,,,,,,no,,,gmgn,smart_degen,padre,bundler|paper_hands,genuine_smart_trader,70,keep,"Active trader sightings with large sell amounts and positive PnL, aligned with target micro-cap strategy, though limited buy signals in harvester context.",2026-05-12T16:38:32.896Z,yes,2.1,no,0,no,,yes,no,,ready,no,,
4,A,170.3,A,179.9,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,https://gmgn.ai/sol/address/2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,Cupsey,Cupseyy,Cupsey,3,3,0.231,13,12,3.27,0.7,2026-05-10T15:44:28.000Z,2026-05-12T06:42:34.192Z,114266,,1140.2884009914674,0,yes,0.7,2026-05-12T06:42:34.192Z,0.005819123220736788,,,,,,,,,no,,,,,,,yes,kol_profitable_watch,KOL profitable but dump-risk; do not enter when already in profit,gmgn|okx,renowned|kol,kol|axiom|gmgn|wash_trader,bundler|transfer_in|paper_hands|diamond_hands|top_holder,inflated_or_wash,80,demote,"Tagged as 'kol' and 'wash_trader' by providers with large available USD amounts on high-mcap tokens, suggesting influence rather than genuine early micro-cap trading.",2026-05-12T11:36:20.287Z,yes,-9.6,yes,0,no,,no,no,,watch,no,,
5,A,169.7,A,161.7,43QmFc2QPPGyMrSNuPnhvfs8BFW1XVZYFdbwURtWoo9x,https://gmgn.ai/sol/address/43QmFc2QPPGyMrSNuPnhvfs8BFW1XVZYFdbwURtWoo9x,,,,4,4,0.400,10,9,2.52,0.7,2026-05-10T20:52:54.000Z,2026-05-12T06:42:38.125Z,93032,,11.60862746301,0,yes,0.7,2026-05-12T06:42:38.125Z,0.00014137073977517716,,,0.6523736600306279,,,7d,2026-05-12T16:35:57.388Z,0.3,yes,gmgn|smart_degen,61.11,56.7611655497,<100K,1406,2026-05-12T14:30:14.529Z,no,good_profitable_smart_wallet,Owner: good profitable smart wallet.,gmgn,smart_degen,gmgn,bundler|paper_hands,genuine_smart_trader,80,promote,"GMGN tags and OKX data (>$2.5K profit, 61% win rate, preferred mcap <100K) indicate a profitable smart wallet.",2026-05-12T16:38:54.740Z,yes,8,no,0,no,,yes,no,,ready,no,,
6,A,169.6,A,169.6,CXVJewdc79TYR55sz4SGLSWUPz3r4LBJ9Mn93bZ8ZyAz,https://gmgn.ai/sol/address/CXVJewdc79TYR55sz4SGLSWUPz3r4LBJ9Mn93bZ8ZyAz,,,,5,5,0.714,7,7,2.4,1.7,2026-05-10T20:12:31.000Z,2026-05-11T05:34:06.310Z,102302,,150.0469093286,0,yes,1.7,2026-05-11T05:34:06.310Z,0.0001932356308058996,,,0.4312796208530806,,,7d,2026-05-12T16:36:10.413Z,0.3,yes,bullx|gmgn|padre|axiom,,,,,,no,,,gmgn,smart_degen,axiom|bullx|gmgn|padre,bundler|paper_hands,insufficient_data,25,watch,Only holder sightings with no trade actions and unavailable amounts; cannot confirm trading activity or profitability.,2026-05-12T16:37:54.755Z,yes,0,no,0,no,,no,no,,watch,no,,
7,A,162,A,162,8LUtQLSVoKewkXXHSsWJA9sio9cH7Q4hSfKVm5cRk7QY,https://gmgn.ai/sol/address/8LUtQLSVoKewkXXHSsWJA9sio9cH7Q4hSfKVm5cRk7QY,,,,5,5,0.385,13,12,4.44,1.7,2026-05-10T20:16:06.000Z,2026-05-11T05:34:06.309Z,90160,,50.49119096448,0,yes,1.7,2026-05-11T05:34:06.309Z,0.00017800347342992432,,,0.6911764705882353,,,7d,2026-05-12T16:36:02.883Z,0.3,yes,smart_degen|axiom,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,insufficient_data,60,watch,High winrate analytics but all sightings are holder-only with no trade activity observed.,2026-05-12T16:37:17.849Z,yes,0,no,0,no,,no,no,,watch,no,,
8,A,161.1,A,153.6,8fcpKabenaFrm53uB2jaMk9vpUVHa626KKcSYTiTCAf2,https://gmgn.ai/sol/address/8fcpKabenaFrm53uB2jaMk9vpUVHa626KKcSYTiTCAf2,,,,6,5,0.545,11,10,11,4.6,2026-05-08T08:01:34.000Z,2026-05-08T08:07:29.513Z,101776,45,89.46642681825,0,no,4.6,2026-05-08T08:07:29.513Z,0.002991274042175489,,,0.49874686716791977,,,7d,2026-05-12T16:36:03.894Z,0.3,yes,,,,,,,no,,,gmgn,smart_degen,,,genuine_smart_trader,75,promote,Strong target share and positive PnL on low market cap tokens align with target strategy.,2026-05-12T16:37:17.849Z,yes,7.5,no,0,no,,yes,no,,ready,no,,
9,A,160.4,A,160.4,9488N1xhqspsRwSHJJdUJxvApZxgTbLStbGZAT9H12H3,https://gmgn.ai/sol/address/9488N1xhqspsRwSHJJdUJxvApZxgTbLStbGZAT9H12H3,,,,4,3,0.333,12,11,3.02,0.7,2026-05-10T05:37:25.000Z,2026-05-12T06:42:46.145Z,108387,0,51.19011839141,0,yes,0.7,2026-05-12T06:42:46.145Z,0.00011278255270308967,,,0.4897025171624714,,,7d,2026-05-12T16:36:04.911Z,0.3,yes,trojan|smart_degen|axiom,,,,,,no,,,gmgn,smart_degen,axiom|trojan,bundler|paper_hands,insufficient_data,30,watch,"Wallet has only holder sightings with no recorded buy/sell trades, making it impossible to assess trading behavior or profitability.",2026-05-12T16:37:37.292Z,yes,0,no,0,no,,no,no,,watch,no,,
10,A,157.1,A,148.6,2NuAgVk3hcb7s4YvP4GjV5fD8eDvZQv5wuN6ZC8igRfV,https://gmgn.ai/sol/address/2NuAgVk3hcb7s4YvP4GjV5fD8eDvZQv5wuN6ZC8igRfV,,,,5,5,0.500,10,10,10,4.6,2026-05-08T06:49:03.000Z,2026-05-08T08:07:33.544Z,68079,,186.31417543645,0,no,4.6,2026-05-08T08:07:33.544Z,0.000113224922093986,,,0.4357414448669201,,,7d,2026-05-12T16:35:55.879Z,0.3,yes,top_renamed,43.58,87.5028620991,<100K,5929,2026-05-12T14:30:10.806Z,no,smart_wallet,"Owner GMGN screenshot: data-sufficient smart wallet; 7D analytics visible, not insufficient_data.",gmgn,smart_degen,,,genuine_smart_trader,85,promote,GMGN and OKX data confirm a profitable trader (>$11K realized PnL) with a preferred mcap <100K and high activity volume.,2026-05-12T16:38:54.740Z,yes,8.5,no,0,no,,yes,no,,ready,no,,
